Code,Name,Group,Image,Unit,,
b0011,سلة مهملات مروحة 6 لتر,ادوات نظافة ,297.jpg,,,297
b0011,سلة قمامة سوبر كبير,ادوات نظافة ,298.jpg,,,298
b0011,سلة قمامة سوبر صغير,ادوات نظافة ,299.jpg,,,299
b0009,زاوية حمام كبير,مغارف  - رفوف -زوايا,300.jpg,,,300
b0009,زاوية حمام صغير,مغارف  - رفوف -زوايا,301.jpg,,,301
b0009,رف منظفات 12 x 30 سم,مغارف  - رفوف -زوايا,302.jpg,,,302
b0009,رف صابون بودرة,مغارف  - رفوف -زوايا,303.jpg,,,303
b0009,رف صابون مزدوج,مغارف  - رفوف -زوايا,304.jpg,,,304
b0009,علبة صابون,مغارف  - رفوف -زوايا,305.jpg,,,305
b0009,علبة صابون ورود,مغارف  - رفوف -زوايا,306.jpg,,,306
b0009,علبة صابون نسيم,مغارف  - رفوف -زوايا,307.jpg,,,307
b0011,ملف كنس 101,ادوات نظافة ,308.jpg,,,308
b0011,ملف كنس 101,ادوات نظافة ,309.jpg,,,309
b0011,ملف كنس قلب,ادوات نظافة ,310.jpg,,,310
b0011,مكانس عدن,ادوات نظافة ,311.jpg,,,311
b0011,مكنسة أبو يد ناعم,ادوات نظافة ,312.jpg,,,312
b0011,مكنسة أبو يد خشن,ادوات نظافة ,313.jpg,,,313
b0011,سحاب بلاط مع برش 50,ادوات نظافة ,314.jpg,,,314
b0011,سحاب بلاط مع برش 40,ادوات نظافة ,315.jpg,,,315
b0011,مكنسة التاج,ادوات نظافة ,316.jpg,,,316
b0011,مكنسة البرنس,ادوات نظافة ,317.jpg,,,317
b0011,مكنسة رقم 3,ادوات نظافة ,318.jpg,,,318
b0011,مكنسة رقم 4,ادوات نظافة ,319.jpg,,,319
b0012,مضارب ذباب,منتجات خدمية,320.jpg,,,320
b0012,مضارب ذباب ورود,منتجات خدمية,321.jpg,,,321
b0011,سعافة سقف,ادوات نظافة ,322.jpg,,,322
b0011,برش حامم مقوس,ادوات نظافة ,323.jpg,,,323
b0011,مكنسة مع ملف,ادوات نظافة ,324.jpg,,,324
b0011,موب الوطنية,ادوات نظافة ,325.jpg,,,325
b0011,برش كاوية,ادوات نظافة ,326.jpg,,,326
b0011,برش حمام كروي مع قاعدة,ادوات نظافة ,327.jpg,,,327
b0012,معالق فساتين,منتجات خدمية,328.jpg,,,328
b0012,معالق ثياب 38 سم,منتجات خدمية,329.jpg,,,329
b0012,معالق فراشة,منتجات خدمية,330.jpg,,,330
b0012,معالق ثياب أطفال,منتجات خدمية,331.jpg,,,331
b0012,معالق ثياب 40 سم,منتجات خدمية,332.jpg,,,332
b0012,معالق مالبس 2023,منتجات خدمية,333.jpg,,,333
b0012,معالق ثياب خماسي,منتجات خدمية,334.jpg,,,334
b0012,معالق دواليب 2025,منتجات خدمية,335.jpg,,,335
b0012,معالق أحذية,منتجات خدمية,336.jpg,,,336
b0012,مصب قطر 20,منتجات خدمية,337.jpg,,,337
b0012,مصب قطر 15,منتجات خدمية,338.jpg,,,338
b0012,مصب قطر 13,منتجات خدمية,339.jpg,,,339
b0012,مصب قطر 12,منتجات خدمية,340.jpg,,,340
b0012,مصب قطر 10,منتجات خدمية,341.jpg,,,341
b0012,مصب موديل 105,منتجات خدمية,342.jpg,,,342
b0003,علب بخور سداسية الغطاء,حافظات - صناديق - سلات,343.jpg,,,343
b0003,علب بخور ثمانية الغطاء,حافظات - صناديق - سلات,344.jpg,,,344
b0003,علب بخور قلب,حافظات - صناديق - سلات,345.jpg,,,345
b0003,علب بخور عرائيس,حافظات - صناديق - سلات,346.jpg,,,346
b0008,كوب العصير موديل 1001,جاكات - حافظات- اقلاص,347.jpg,,,347
b0008,كوب العصير موديل 1002,جاكات - حافظات- اقلاص,348.jpg,,,348
b0008,كوب العصير موديل 1003,جاكات - حافظات- اقلاص,349.jpg,,,349
b0008,كوب العصير موديل 1004,جاكات - حافظات- اقلاص,350.jpg,,,350
b0008,كوب الشاي موديل 1005,جاكات - حافظات- اقلاص,351.jpg,,,351
b0008,كوب الشاي موديل 1006,جاكات - حافظات- اقلاص,352.jpg,,,352
b0008,كوب الشاي موديل 1007,جاكات - حافظات- اقلاص,353.jpg,,,353
b0003,قالب بلاط سداسي ,حافظات - صناديق - سلات,354.jpg,,,354
b0003,قالب بلاط مستطيل,حافظات - صناديق - سلات,355.jpg,,,355
